USA		Japan	United Kingdom	France	Italy	Canada	Korea	Australia	Spain	Mexico	Netherlands	Switzerland	Germany	Sweden	Belgium	Austria	Norway
Q1-1981	2.0695	0.613079	-0.16555	0.392136	-0.570495	2.222622	4.09997	0.385366	-0.566186	2.232972	-0.96337	0.235268	1.189866	0.614162	0.022401	-0.692629	1.693478
Q2-1981	-0.730244	1.223763	0.237635	0.506864	0.194997	1.103378	2.228904	1.549845	-0.110719	2.591143	-0.025647	0.709407	-0.249632	-0.062043	1.457926	1.006344	0.414909
Q3-1981	1.147501	-0.222417	1.086854	0.651015	0.04631	-0.89609	4.070699	2.004886	0.444685	0.522758	-0.914355	0.282689	0.263434	0.767287	-0.428832	-0.069449	-1.247565
Q4-1981	-1.166631	0.72994	0.116096	0.667117	0.811647	-0.455675	1.612057	-0.402344	-0.099841	1.791577	0.079519	-0.204738	-0.078831	-1.122507	0.267781	-0.631448	-0.025141
Q1-1982	-1.67277	1.532501	0.16486	0.79809	-0.039523	-1.189497	0.815628	-0.835655	0.411598	-1.926788	0.93869	-0.304714	0.374671	0.284036	0.133524	2.028279	0.700527
Q2-1982	0.544774	0.686563	1.119578	0.626718	-0.284174	-1.152753	2.056265	0.989435	0.37979	0.152382	-2.432907	-1.174907	-0.615593	2.11229	0.2694	0.293478	0.010108
Q3-1982	-0.360155	0.437004	0.256105	0.146181	-0.053488	-0.881686	2.176252	-0.736881	0.673207	-0.719205	1.10888	-0.500121	-0.988404	-1.241489	0.112673	-0.067677	-0.029726
Q4-1982	0.097552	1.389602	0.70398	0.502664	-0.290769	-0.922884	3.215411	-1.553014	0.352496	-2.194229	-2.100653	-0.136518	0.239589	1.948384	-0.633301	-0.174901	0.319945
Q1-1983	1.3098	0.063061	1.814365	0.444578	0.279768	1.644656	4.513098	-1.008957	0.365463	-0.739376	0.832133	0.174809	0.90627	-1.131415	0.018049	1.213791	1.892502
Q2-1983	2.28197	0.751952	0.854785	0.050235	-0.120409	1.9873	2.671485	-0.193119	0.61761	-2.010715	2.716421	0.915728	1.052778	0.7884	0.047185	1.308602	1.103066
Q3-1983	1.957928	1.496254	1.102556	0.099402	1.862229	1.133117	3.875114	2.761932	0.147061	0.830143	1.47511	0.42976	-0.208368	1.12733	0.83464	0.838428	1.382491
Q4-1983	2.062195	0.833126	0.864618	0.550741	2.2168	1.272203	0.720142	1.68696	0.646117	1.150446	-0.701584	0.709607	1.383274	2.014711	1.1173	1.013589	0.037461
Q1-1984	1.986835	1.151676	0.687592	0.592891	-0.196113	1.71501	4.41181	2.515551	0.827201	2.760114	1.676444	0.58752	1.322573	2.256876	0.404556	-1.317604	2.682285
Q2-1984	1.756338	1.514426	-0.87079	0.305253	0.321965	1.956069	2.207984	1.151317	-0.308285	-1.471891	-0.05895	0.644184	-1.575206	-1.513563	0.15287	-0.705958	0.620523
Q3-1984	0.9838	1.222068	0.65055	0.614327	1.177468	0.424365	1.563929	0.921284	0.870915	2.421555	1.093892	1.506108	2.723288	1.322053	0.286768	0.919922	2.89567
Q4-1984	0.797629	0.172602	1.985359	0.133802	0.016044	1.57611	0.528706	0.709066	0.127632	-0.88123	0.183879	1.042697	0.841814	0.929833	0.644337	0.950289	2.077146
Q1-1985	0.994129	2.45057	0.842612	0.169433	0.571728	1.518987	2.54671	1.231154	1.115985	1.829112	0.368847	0.747998	-0.545071	0.138871	0.427656	0.48032	1.960636
Q2-1985	0.915491	2.02495	2.132496	0.774234	1.320883	0.321212	2.341352	2.213809	-0.093929	-0.086641	1.972851	0.911823	1.002248	1.056978	0.365212	0.155684	-1.374
Q3-1985	1.555706	1.30856	0.093971	0.627373	0.801016	1.266018	1.501969	1.536352	1.036667	0.625405	-0.974239	0.475206	1.302408	1.10346	0.67715	1.484461	2.907167
Q4-1985	0.750183	1.328426	0.244178	0.390724	0.666796	1.538556	2.98117	-0.342508	1.148468	-0.271497	2.446499	0.965029	0.599977	-1.004894	0.517968	-0.416359	0.965257
Q1-1986	0.926857	0.397646	1.121796	0.366118	0.62318	-0.022138	1.485985	0.643866	0.282041	-1.928239	0.176769	0.017379	-0.572049	2.02347	0.54789	0.894396	1.874778
Q2-1986	0.459063	-0.245689	0.729547	1.10763	0.646813	0.575723	4.033118	-0.196988	2.381556	-0.37352	1.732329	0.783517	1.150685	0.500524	0.203576	1.209922	-1.3562
Q3-1986	1.006568	0.585788	0.442785	0.461717	0.998123	0.12754	4.669878	0.303799	-0.705039	-1.898209	0.253507	0.123472	0.738239	0.489036	1.230937	0.081472	2.610265
Q4-1986	0.517753	0.788721	1.761324	0.176054	0.41059	-0.720398	1.377702	1.661824	0.638803	-0.273023	-1.274309	-0.021129	0.997108	0.303682	-1.156201	0.074006	0.547401
Q1-1987	0.69923	-0.071726	0.89639	0.293545	0.409625	2.315915	2.602221	1.010285	2.048184	0.597476	0.239279	0.02591	-2.509805	0.456262	0.706358	-0.852827	-0.418693
Q2-1987	1.122519	2.095595	1.44643	1.1809	1.514382	1.296611	5.145715	1.537815	1.496058	2.736231	1.642376	0.803005	2.244994	2.212031	1.111189	1.764855	2.197504
Q3-1987	0.906959	2.000278	2.416818	0.724742	0.288642	1.531916	1.390412	1.799089	2.065203	0.107061	1.146137	0.945474	0.692121	1.136552	1.397513	1.21496	-2.607667
Q4-1987	1.650545	2.574799	1.133601	1.451817	1.075995	1.298438	1.854047	2.004986	2.045736	1.208327	0.814298	0.918114	1.5999	0.31108	1.290633	0.810185	1.813396
Q1-1988	0.562387	2.387213	1.797078	1.322968	1.47171	1.462704	7.160801	0.485412	0.321543	-0.675506	0.131302	0.428505	-0.906973	0.478468	0.99036	-1.010978	-0.373294
Q2-1988	1.321282	-0.145997	0.597712	0.742085	0.63527	0.88851	-2.042605	0.055564	1.223182	-0.320853	0.761872	0.765038	1.812832	0.193407	0.93208	1.835161	-1.533096
Q3-1988	0.577217	2.230947	1.529919	1.301791	1.313966	0.008201	3.966569	0.815431	1.802908	0.123422	0.851589	1.11191	1.133076	0.165339	1.228906	1.661264	0.845154
Q4-1988	1.324597	1.053824	0.8626	1.083452	1.193897	0.702665	2.553869	1.540105	-0.224282	1.992231	0.93033	1.397197	1.177547	2.116757	0.979885	1.1833	0.143103
Q1-1989	1.008739	2.69804	0.434709	1.481893	0.621204	1.140544	-0.068204	1.082757	2.35813	1.873678	1.517732	0.441225	1.045143	0.164712	0.76019	0.82314	-0.653664
Q2-1989	0.786345	-1.305732	0.651184	0.901623	0.432397	0.384147	1.358615	2.056888	0.984089	0.038206	1.245802	1.631376	0.402548	0.675412	0.961124	0.475649	1.179381
